otherteam,team,teamid,otherteamid
gonzaga,norfolk st.,1313,1211
oklahoma,missouri,1281,1328
creighton,ucsb,1364,1166
virginia,ohio,1325,1438
usc,drake,1179,1425
kansas,eastern wash.,1186,1242
oregon,vcu,1433,1332
iowa,grand canyon,1213,1234
michigan,texas southern,1411,1276
lsu,st. bonaventure,1382,1261
colorado,georgetown,1207,1160
florida st.,unc greensboro,1422,1199
byu,ucla,1417,1140
texas,abilene christian,1101,1400
uconn,maryland,1268,1163
alabama,iona,1233,1104
baylor,hartford,1216,1124
north carolina,wisconsin,1458,1314
villanova,winthrop,1457,1437
purdue,north texas,1317,1345
texas tech,utah st.,1429,1403
arkansas,colgate,1159,1116
florida,virginia tech,1439,1196
ohio st.,oral roberts,1331,1326
illinois,drexel,1180,1228
loyola chicago,georgia tech,1210,1260
tennessee,oregon st.,1333,1397
oklahoma st,liberty,1251,1329
san diego st.,syracuse,1393,1361
west virginia,morehead st,1287,1452
clemson,rutgers,1353,1155
houston,cleveland st,1156,1222
